sampleid	LibraryName	SampleName	Subject_ID
SRR13191453	S.170808.00562	S.170808.00562_143	CDM_336
SRR13191452	S.170808.00564	S.170808.00564_196	CDM_337
SRR13191451	S.170808.00566	S.170808.00566_572	CDM_338
SRR13191450	S.170808.00568	S.170808.00568_214	CDM_339
SRR13191449	S.170808.00570	S.170808.00570_82	CDM_340
SRR13191448	S.170808.00572	S.170808.00572_566	CDM_341
SRR13191447	S.170808.00573	S.170808.00573_562	CDM_342
SRR13191446	S.170808.00574	S.170808.00574_217	CDM_343
SRR13191445	S.170808.00576	S.170808.00576_648	CDM_344
SRR13191442	S.170808.00579	S.170808.00579_438	CDM_346
SRR13191441	S.170808.00580	S.170808.00580_70	CDM_345
SRR13191440	S.170808.00584	S.170808.00584_548	CDM_349
SRR13191439	S.170808.00763	S.170808.00763_530	CDM_436
SRR13191438	S.170808.00771	S.170808.00771_34	CDM_259
SRR13191437	S.170808.00773	S.170808.00773_351	CDM_440
SRR13191510	S.170822.00231	S.170822.00231_41	CDM_431
SRR13191509	S.170822.00232	S.170822.00232_598	CDM_560
SRR13191508	S.170822.00233	S.170822.00233_534	CDM_437
SRR13191507	S.170822.00234	S.170822.00234_432	CDM_438
SRR13191506	S.170822.00235	S.170822.00235_525	CDM_439
SRR13191505	S.170822.00236	S.170822.00236_612	CDM_283
SRR13191504	S.170822.00237	S.170822.00237_340	CDM_444
SRR13191503	S.170822.00238	S.170822.00238_20	CDM_445
SRR13191502	S.170822.00239	S.170822.00239_610	CDM_446
SRR13191501	S.170822.00240	S.170822.00240_445	CDM_561
SRR13191499	S.170822.00241	S.170822.00241_271	CDM_562
SRR13191498	S.170822.00242	S.170822.00242_433	CDM_450
SRR13191497	S.170822.00243	S.170822.00243_497	CDM_458
SRR13191496	S.170822.00256	S.170822.00256_72	CDM_459
SRR13191495	S.170822.00257	S.170822.00257_193	CDM_460
SRR13191494	S.170822.00258	S.170822.00258_272	CDM_461
SRR13191493	S.170822.00259	S.170822.00259_483	CDM_462
SRR13191492	S.170822.00260	S.170822.00260_221	CDM_463
SRR13191491	S.170822.00369	S.170822.00369_175	CDM_468
SRR13191490	S.170822.00370	S.170822.00370_404	CDM_469
SRR13191488	S.170822.00371	S.170822.00371_403	CDM_470
SRR13191214	Extractblankswab10	Extractblankswab10_623	Control
SRR13191203	Extractblankswab11	Extractblankswab11_624	Control
SRR13191547	Extractblankswab4	Extractblankswab4_425	Control
SRR13191179	Extractemptywell10	Extractemptywell10_543	Control
SRR13191145	Extractemptywell13	Extractemptywell13_650	Control
SRR13191190	Extractemptywell1	Extractemptywell1_541	Control
SRR13191163	S.170804.00677	S.170804.00677_158	CDM_17
SRR13191152	S.170804.00679	S.170804.00679_475	CDM_18
SRR13191220	S.170804.00828	S.170804.00828_256	CDM_100
SRR13191219	S.170808.00001	S.170808.00001_257	CDM_101
SRR13191218	S.170808.00002	S.170808.00002_446	CDM_102
SRR13191217	S.170808.00004	S.170808.00004_144	CDM_103
SRR13191216	S.170808.00005	S.170808.00005_552	CDM_104
SRR13191215	S.170808.00007	S.170808.00007_99	CDM_105
SRR13191213	S.170808.00009	S.170808.00009_470	CDM_106
SRR13191212	S.170808.00010	S.170808.00010_98	CDM_107
SRR13191211	S.170808.00011	S.170808.00011_603	CDM_108
SRR13191210	S.170808.00013	S.170808.00013_561	CDM_109
SRR13191209	S.170808.00015	S.170808.00015_533	CDM_110
SRR13191208	S.170808.00017	S.170808.00017_113	CDM_111
SRR13191207	S.170808.00019	S.170808.00019_52	CDM_53
SRR13191206	S.170808.00021	S.170808.00021_107	CDM_112
SRR13191205	S.170808.00022	S.170808.00022_249	CDM_113
SRR13191204	S.170808.00024	S.170808.00024_24	CDM_114
SRR13191202	S.170808.00026	S.170808.00026_632	CDM_115
SRR13191201	S.170808.00029	S.170808.00029_174	CDM_117
SRR13191200	S.170808.00031	S.170808.00031_450	CDM_118
SRR13191199	S.170808.00033	S.170808.00033_654	CDM_119
SRR13191198	S.170808.00035	S.170808.00035_164	CDM_120
SRR13191197	S.170808.00037	S.170808.00037_344	CDM_121
SRR13191546	S.170808.00134	S.170808.00134_582	CDM_171
SRR13191545	S.170808.00136	S.170808.00136_487	CDM_51
SRR13191544	S.170808.00138	S.170808.00138_605	CDM_172
SRR13191543	S.170808.00140	S.170808.00140_117	CDM_173
SRR13191542	S.170808.00142	S.170808.00142_415	CDM_174
SRR13191541	S.170808.00144	S.170808.00144_331	CDM_175
SRR13191540	S.170808.00146	S.170808.00146_19	CDM_176
SRR13191539	S.170808.00148	S.170808.00148_103	CDM_177
SRR13191538	S.170808.00149	S.170808.00149_211	CDM_178
SRR13191537	S.170808.00151	S.170808.00151_292	CDM_179
SRR13191196	S.170808.00241	S.170808.00241_92	CDM_221
SRR13191195	S.170808.00243	S.170808.00243_536	CDM_222
SRR13191194	S.170808.00244	S.170808.00244_315	CDM_223
SRR13191193	S.170808.00246	S.170808.00246_635	CDM_224
SRR13191192	S.170808.00247	S.170808.00247_429	CDM_225
SRR13191191	S.170808.00248	S.170808.00248_182	CDM_226
SRR13191189	S.170808.00250	S.170808.00250_173	CDM_227
SRR13191188	S.170808.00252	S.170808.00252_485	CDM_228
